window_title,quadrant
Assignment Planning,1
New Message,2
Project Immediate Action,0
Document Guide,1
New Message,2
Assignment Deadline,0
Research Drafting,1
Alert,2
Task Urgent,0
Project Planning,1
Alert,2
Task Deadline,0
Project Deep Work,1
Incoming Call,2
Project Immediate Action,0
Document Deep Work,1
System Update,2
Task Urgent,0
Task Deep Work,1
New Message,2
Assignment Final Version,0
Assignment Planning,1
Incoming Call,2
Task Priority,0
Task Planning,1
New Message,2
Assignment Deadline,0
Project Drafting,1
New Message,2
Task Urgent,0
Project Guide,1
Incoming Call,2
Research Deadline,0
Assignment Guide,1
Incoming Call,2
Report Priority,0
Report Planning,1
Incoming Call,2
Research Priority,0
Assignment Deep Work,1
New Message,2
Task Final Version,0
Report Deep Work,1
Alert,2
Project Final Version,0
Project Learning,1
Notification,2
Task Immediate Action,0
Document Deep Work,1
System Update,2
Report Immediate Action,0
Report Tutorial,1
Incoming Call,2
Task Immediate Action,0
Task Guide,1
Incoming Call,2
Document Priority,0
Assignment Guide,1
Notification,2
Task Deadline,0
Project Learning,1
New Message,2
Task Immediate Action,0
Research Deep Work,1
Incoming Call,2
Document Immediate Action,0
Task Tutorial,1
Incoming Call,2
Project Urgent,0
Report Tutorial,1
New Message,2
Research Priority,0
Assignment Guide,1
New Message,2
Research Final Version,0
Document Deep Work,1
Incoming Call,2
Report Priority,0
Document Learning,1
Alert,2
Research Deadline,0
Document Planning,1
Incoming Call,2
Report Urgent,0
Task Planning,1
Alert,2
Report Priority,0
Assignment Tutorial,1
System Update,2
Assignment Final Version,0
Document Guide,1
Alert,2
Assignment Immediate Action,0
Assignment Drafting,1
Notification,2
Report Deadline,0
Document Guide,1
Alert,2
Task Priority,0
Assignment Tutorial,1
System Update,2
Report Deadline,0
Document Tutorial,1
New Message,2
Document Immediate Action,0
Project Deep Work,1
New Message,2
Assignment Deadline,0
Assignment Deep Work,1
Notification,2
Task Priority,0
Assignment Drafting,1
Notification,2
Research Priority,0
Assignment Deep Work,1
Incoming Call,2
Report Final Version,0
Assignment Guide,1
Notification,2
Task Final Version,0
Document Guide,1
Alert,2
Task Final Version,0
Report Deep Work,1
Incoming Call,2
Project Urgent,0
Document Learning,1
Notification,2
Task Priority,0
Research Drafting,1
System Update,2
Project Priority,0
Research Planning,1
New Message,2
Document Urgent,0
Report Guide,1
Notification,2
Assignment Urgent,0
Task Tutorial,1
Notification,2
Assignment Urgent,0
Project Guide,1
New Message,2
Assignment Priority,0
Research Learning,1
New Message,2
Document Immediate Action,0
Task Tutorial,1
Alert,2
Assignment Final Version,0
Document Tutorial,1
Alert,2
Project Final Version,0
Research Learning,1
Notification,2
Document Deadline,0
Research Planning,1
Notification,2
Research Deadline,0
Report Deep Work,1
Alert,2
Research Deadline,0
Research Learning,1
Notification,2
Document Immediate Action,0
Document Learning,1
System Update,2
Report Final Version,0
Research Deep Work,1
Incoming Call,2
Project Urgent,0
Task Guide,1
Alert,2
Task Deadline,0
Task Deep Work,1
Notification,2
Report Deadline,0
Report Deep Work,1
Notification,2
Task Final Version,0
Research Planning,1
New Message,2
Project Priority,0
Report Drafting,1
System Update,2
Project Final Version,0
Report Learning,1
Notification,2
Document Urgent,0
Task Guide,1
Alert,2
Project Priority,0
Assignment Learning,1
Notification,2
Project Urgent,0
Research Deep Work,1
Alert,2
Assignment Urgent,0
Report Learning,1
New Message,2
Assignment Priority,0
Report Deep Work,1
Alert,2
Research Deadline,0
Assignment Learning,1
Alert,2
Report Final Version,0
Project Drafting,1
New Message,2
Research Final Version,0
Report Drafting,1
System Update,2
Document Urgent,0
Assignment Drafting,1
Notification,2
Document Urgent,0
Assignment Drafting,1
New Message,2
Research Deadline,0
Research Learning,1
Incoming Call,2
Project Deadline,0
Report Drafting,1
Incoming Call,2
Project Immediate Action,0
Report Drafting,1
Incoming Call,2
Research Final Version,0
Research Drafting,1
New Message,2
Report Urgent,0
Task Guide,1
Incoming Call,2
Research Urgent,0
Document Planning,1
Notification,2
Report Final Version,0
Report Planning,1
Alert,2
Report Priority,0
Project Deep Work,1
Incoming Call,2
Task Priority,0
Research Planning,1
New Message,2
Project Deadline,0
Project Drafting,1
Incoming Call,2
Report Priority,0
Report Deep Work,1
System Update,2
Research Immediate Action,0
Report Planning,1
Alert,2
Assignment Priority,0
Project Drafting,1
New Message,2
Task Deadline,0
Report Tutorial,1
Notification,2
Document Urgent,0
Project Learning,1
System Update,2
Assignment Priority,0
Research Guide,1
Notification,2
Assignment Priority,0
Research Deep Work,1
Notification,2
Report Urgent,0
Document Deep Work,1
Incoming Call,2
Research Final Version,0
Project Planning,1
Incoming Call,2
Document Final Version,0
Assignment Drafting,1
Alert,2
Project Final Version,0
Task Deep Work,1
Alert,2
Document Priority,0
Document Tutorial,1
Notification,2
Document Immediate Action,0
Document Learning,1
New Message,2
Research Deadline,0
Research Learning,1
Incoming Call,2
Task Final Version,0
Task Deep Work,1
Alert,2
Task Urgent,0
Assignment Guide,1
Incoming Call,2
Research Final Version,0
Project Tutorial,1
Alert,2
Research Priority,0
Research Learning,1
Alert,2
Task Deadline,0
Document Learning,1
New Message,2
Project Priority,0
Task Drafting,1
Incoming Call,2
Project Priority,0
Project Guide,1
Alert,2
Report Priority,0
Report Drafting,1
New Message,2
Assignment Deadline,0
Research Drafting,1
Incoming Call,2
Assignment Urgent,0
Report Tutorial,1
New Message,2
Research Immediate Action,0
Task Tutorial,1
Incoming Call,2
Assignment Urgent,0
Report Learning,1
System Update,2
Document Priority,0
Task Planning,1
Alert,2
Document Immediate Action,0
Document Deep Work,1
Alert,2
Document Final Version,0
Project Tutorial,1
New Message,2
Assignment Urgent,0
Document Deep Work,1
New Message,2
Research Final Version,0
Research Learning,1
Incoming Call,2
Assignment Deadline,0
Assignment Deep Work,1
Incoming Call,2
Report Urgent,0
Research Deep Work,1
System Update,2
Project Urgent,0
Project Learning,1
Notification,2
Project Immediate Action,0
Task Learning,1
Notification,2
Report Final Version,0
Research Guide,1
Incoming Call,2
Task Final Version,0
Assignment Learning,1
System Update,2
Document Deadline,0
Assignment Learning,1
System Update,2
Project Final Version,0
Document Drafting,1
Incoming Call,2
Research Final Version,0
Project Drafting,1
Incoming Call,2
Research Immediate Action,0
Research Drafting,1
Incoming Call,2
Document Immediate Action,0
Assignment Learning,1
Incoming Call,2
Research Final Version,0
Project Deep Work,1
New Message,2
Project Urgent,0
Document Tutorial,1
Notification,2
Report Priority,0
Project Planning,1
Notification,2
Assignment Priority,0
Task Drafting,1
Incoming Call,2
Task Priority,0
Task Planning,1
New Message,2
Assignment Deadline,0
Assignment Learning,1
Notification,2
Assignment Immediate Action,0
Report Drafting,1
System Update,2
Document Final Version,0
Assignment Guide,1
Alert,2
Document Final Version,0
Project Learning,1
System Update,2
Assignment Immediate Action,0
Assignment Tutorial,1
New Message,2
Assignment Urgent,0
Document Learning,1
New Message,2
Task Immediate Action,0
Project Deep Work,1
System Update,2
Project Priority,0
Report Tutorial,1
System Update,2
Project Deadline,0
Document Guide,1
System Update,2
Research Final Version,0
Document Planning,1
Alert,2
Research Immediate Action,0
Document Drafting,1
Notification,2
Research Immediate Action,0
Report Drafting,1
Alert,2
Assignment Deadline,0
Report Planning,1
Incoming Call,2
Research Urgent,0
Assignment Planning,1
New Message,2
Research Urgent,0
Document Learning,1
New Message,2
Task Deadline,0
Report Guide,1
Incoming Call,2
Project Immediate Action,0
Report Tutorial,1
New Message,2
Research Immediate Action,0
Document Planning,1
Alert,2
Project Final Version,0
Task Deep Work,1
System Update,2
Task Final Version,0
Project Deep Work,1
System Update,2
Project Immediate Action,0
Task Deep Work,1
Incoming Call,2
Research Urgent,0
Task Tutorial,1
Incoming Call,2
Report Priority,0
Document Learning,1
System Update,2
Project Priority,0
Research Deep Work,1
Alert,2
Research Deadline,0
Task Deep Work,1
Incoming Call,2
Task Priority,0
Project Deep Work,1
Incoming Call,2
Document Urgent,0
Project Tutorial,1
System Update,2
Document Deadline,0
Assignment Deep Work,1
Incoming Call,2
Research Priority,0
Project Guide,1
Alert,2
Assignment Final Version,0
Assignment Guide,1
Alert,2
Document Priority,0
Task Tutorial,1
Notification,2
Document Final Version,0
Task Deep Work,1
New Message,2
Task Final Version,0
Report Drafting,1
Notification,2
Assignment Immediate Action,0
Assignment Learning,1
Alert,2
Assignment Immediate Action,0
Project Tutorial,1
System Update,2
Project Urgent,0
Document Deep Work,1
Notification,2
Task Immediate Action,0
Assignment Tutorial,1
New Message,2
Report Priority,0
Report Drafting,1
Notification,2
Report Priority,0
Report Planning,1
Notification,2
Report Priority,0
Assignment Learning,1
New Message,2
Report Urgent,0
Report Drafting,1
New Message,2
Research Priority,0
Task Drafting,1
Incoming Call,2
Assignment Final Version,0
Task Planning,1
Incoming Call,2
Document Final Version,0
Document Deep Work,1
Notification,2
Research Urgent,0
Task Tutorial,1
New Message,2
Task Deadline,0
Assignment Deep Work,1
Alert,2
Assignment Immediate Action,0
Project Tutorial,1
System Update,2
Task Priority,0
Assignment Tutorial,1
Alert,2
Research Immediate Action,0
Project Deep Work,1
System Update,2
Document Deadline,0
Report Guide,1
Notification,2
Document Deadline,0
Task Drafting,1
Incoming Call,2
Report Urgent,0
Document Deep Work,1
Incoming Call,2
Task Deadline,0
Report Tutorial,1
Alert,2
Report Urgent,0
Task Drafting,1
System Update,2
Research Deadline,0
Project Tutorial,1
System Update,2
Assignment Priority,0
Project Tutorial,1
Notification,2
Project Deadline,0
Research Planning,1
System Update,2
Document Immediate Action,0
Task Deep Work,1
System Update,2
Research Priority,0
Document Deep Work,1
Alert,2
Document Urgent,0
Task Planning,1
Alert,2
Report Immediate Action,0
Assignment Learning,1
Alert,2
Document Immediate Action,0
Document Guide,1
Alert,2
Task Priority,0
Report Deep Work,1
Notification,2
Task Priority,0
Task Guide,1
System Update,2
Project Immediate Action,0
Document Tutorial,1
Notification,2
Document Urgent,0
Task Tutorial,1
Alert,2
Task Urgent,0
Task Deep Work,1
System Update,2
Research Final Version,0
Document Tutorial,1
System Update,2
Research Priority,0
Report Drafting,1
New Message,2
Task Final Version,0
Project Tutorial,1
Incoming Call,2
Research Deadline,0
Document Drafting,1
New Message,2
Document Priority,0
Project Drafting,1
Notification,2
Report Final Version,0
Project Guide,1
Notification,2
Document Deadline,0
Assignment Planning,1
System Update,2
Project Deadline,0
Assignment Learning,1
Incoming Call,2
Project Final Version,0
Report Planning,1
Notification,2
Task Urgent,0
Assignment Tutorial,1
Alert,2
Task Priority,0
Assignment Tutorial,1
New Message,2
Research Final Version,0
Project Drafting,1
System Update,2
Report Urgent,0
Report Drafting,1
Incoming Call,2
Research Immediate Action,0
Document Learning,1
New Message,2
Report Final Version,0
Research Tutorial,1
System Update,2
Research Deadline,0
Task Learning,1
Incoming Call,2
Report Immediate Action,0
Research Planning,1
Alert,2
Project Priority,0
Report Drafting,1
Notification,2
Project Deadline,0
Research Learning,1
System Update,2
Assignment Final Version,0
Task Guide,1
Alert,2
Document Urgent,0
Document Planning,1
Incoming Call,2
Research Urgent,0
Assignment Planning,1
Alert,2
Project Immediate Action,0
Report Planning,1
New Message,2
Task Urgent,0
Task Tutorial,1
Notification,2
Task Immediate Action,0
Project Learning,1
System Update,2
Task Urgent,0
Report Planning,1
System Update,2
Project Immediate Action,0
Research Deep Work,1
New Message,2
Report Urgent,0
Project Drafting,1
New Message,2
Task Urgent,0
Task Planning,1
Incoming Call,2
Task Immediate Action,0
Research Guide,1
Alert,2
Assignment Immediate Action,0
Task Planning,1
New Message,2
Assignment Priority,0
Assignment Planning,1
Incoming Call,2
Project Urgent,0
Report Learning,1
Incoming Call,2
Document Deadline,0
Assignment Planning,1
Notification,2
Project Final Version,0
Document Deep Work,1
Incoming Call,2
Report Urgent,0
Assignment Learning,1
Incoming Call,2
Document Deadline,0
Report Tutorial,1
Notification,2
Task Immediate Action,0
Research Learning,1
Alert,2
Document Immediate Action,0
Task Learning,1
Incoming Call,2
Report Immediate Action,0
Assignment Deep Work,1
Incoming Call,2
Report Final Version,0
Project Drafting,1
Incoming Call,2
Project Final Version,0
Document Deep Work,1
Incoming Call,2
Report Final Version,0
Assignment Learning,1
New Message,2
Task Final Version,0
Document Planning,1
Notification,2
Document Deadline,0
Document Deep Work,1
Incoming Call,2
Assignment Deadline,0
Assignment Drafting,1
New Message,2
Research Deadline,0
Project Deep Work,1
Incoming Call,2
Task Final Version,0
Task Tutorial,1
Incoming Call,2
Research Priority,0
Research Guide,1
Alert,2
Report Priority,0
Task Deep Work,1
Notification,2
Assignment Deadline,0
Document Tutorial,1
Alert,2
Project Deadline,0
Task Deep Work,1
Notification,2
Assignment Urgent,0
Assignment Tutorial,1
Alert,2
Research Final Version,0
Task Drafting,1
System Update,2
Research Final Version,0
Document Tutorial,1
Notification,2
Task Priority,0
Report Drafting,1
Notification,2
Project Final Version,0
Assignment Learning,1
Incoming Call,2
Report Deadline,0
Research Deep Work,1
System Update,2
Report Urgent,0
Research Guide,1
Notification,2
Project Priority,0
Task Drafting,1
System Update,2
Research Urgent,0
Task Guide,1
Notification,2
Assignment Priority,0
Task Planning,1
Notification,2
Report Urgent,0
Report Planning,1
Notification,2
Task Immediate Action,0
Research Deep Work,1
New Message,2
Document Immediate Action,0
Document Drafting,1
New Message,2
Research Urgent,0
Research Planning,1
Notification,2
Assignment Final Version,0
Project Deep Work,1
Notification,2
Document Immediate Action,0
Report Planning,1
Incoming Call,2
Project Deadline,0
Document Learning,1
New Message,2
Research Deadline,0
Project Tutorial,1
New Message,2
Research Deadline,0
Report Guide,1
System Update,2
Document Urgent,0
Document Tutorial,1
Alert,2
Report Final Version,0
Task Deep Work,1
System Update,2
Document Priority,0
Project Planning,1
Incoming Call,2
Assignment Priority,0
Project Drafting,1
Incoming Call,2
Task Final Version,0
Assignment Planning,1
System Update,2
Assignment Deadline,0
Research Deep Work,1
Notification,2
Document Immediate Action,0
Document Deep Work,1
New Message,2
Document Urgent,0
Project Guide,1
Incoming Call,2
Report Deadline,0
Task Tutorial,1
New Message,2
Project Deadline,0
Task Planning,1
Notification,2
Project Final Version,0
Assignment Drafting,1
New Message,2
Document Deadline,0
Assignment Drafting,1
Alert,2
Research Immediate Action,0
Report Deep Work,1
Alert,2
Research Urgent,0
Research Drafting,1
Notification,2
Task Immediate Action,0
Research Tutorial,1
System Update,2
Document Immediate Action,0
Assignment Tutorial,1
New Message,2
Assignment Priority,0
Document Deep Work,1
Incoming Call,2
Document Final Version,0
Task Drafting,1
New Message,2
Document Final Version,0
Assignment Planning,1
Alert,2
Research Final Version,0
Research Guide,1
Incoming Call,2
Project Deadline,0
Assignment Tutorial,1
New Message,2
Report Deadline,0
Report Planning,1
Incoming Call,2
Report Priority,0
Report Planning,1
Alert,2
Assignment Final Version,0
Document Guide,1
Notification,2
Document Final Version,0
Document Tutorial,1
Notification,2
Assignment Priority,0
Task Guide,1
Alert,2
Assignment Deadline,0
Assignment Guide,1
System Update,2
Project Immediate Action,0
Assignment Planning,1
New Message,2
Task Priority,0
Project Deep Work,1
Notification,2
Document Final Version,0
Research Learning,1
New Message,2
Assignment Final Version,0
Task Guide,1
Incoming Call,2
Document Immediate Action,0
Assignment Drafting,1
System Update,2
Document Urgent,0
Research Planning,1
Incoming Call,2
Report Immediate Action,0
Project Learning,1
System Update,2
Research Final Version,0
Research Deep Work,1
Notification,2
Document Priority,0
Task Tutorial,1
Notification,2
Report Priority,0
Research Learning,1
Alert,2
Assignment Final Version,0
Task Guide,1
System Update,2
Research Urgent,0
Task Drafting,1
Incoming Call,2
Project Immediate Action,0
Project Planning,1
Notification,2
Report Deadline,0
Assignment Deep Work,1
Incoming Call,2
Report Deadline,0
Project Deep Work,1
New Message,2
Assignment Urgent,0
Assignment Planning,1
Incoming Call,2
Project Deadline,0
Project Guide,1
Alert,2
Project Immediate Action,0
Assignment Drafting,1
Alert,2
Report Final Version,0
Report Tutorial,1
System Update,2
Research Deadline,0
Research Drafting,1
New Message,2
Assignment Priority,0
Report Drafting,1
Alert,2
Document Final Version,0
Assignment Guide,1
Alert,2
Research Immediate Action,0
Document Guide,1
Notification,2
Research Urgent,0
Document Drafting,1
Alert,2
Report Priority,0
Document Tutorial,1
Notification,2
Research Urgent,0
Assignment Learning,1
Alert,2
Project Deadline,0
Task Deep Work,1
Notification,2
Project Priority,0
Project Planning,1
New Message,2
Assignment Priority,0
Report Deep Work,1
Incoming Call,2
Task Priority,0
Document Learning,1
System Update,2
Task Urgent,0
Task Guide,1
System Update,2
Report Immediate Action,0
Task Planning,1
Incoming Call,2
Assignment Deadline,0
Task Deep Work,1
New Message,2
Research Urgent,0
Research Tutorial,1
Notification,2
Report Final Version,0
Document Learning,1
Incoming Call,2
Project Priority,0
Project Learning,1
New Message,2
Report Final Version,0
Task Drafting,1
New Message,2
Report Immediate Action,0
Document Planning,1
System Update,2
Assignment Priority,0
Research Planning,1
Incoming Call,2
Research Priority,0
Report Learning,1
Incoming Call,2
Task Priority,0
Document Learning,1
Alert,2
Assignment Urgent,0
Task Deep Work,1
Incoming Call,2
Task Immediate Action,0
Document Drafting,1
Incoming Call,2
Report Deadline,0
Task Learning,1
System Update,2
Document Final Version,0
Task Learning,1
Alert,2
Report Priority,0
Research Deep Work,1
Alert,2
Assignment Immediate Action,0
Task Tutorial,1
System Update,2
Assignment Final Version,0
Research Drafting,1
Alert,2
Research Final Version,0
Report Drafting,1
New Message,2
Research Priority,0
Document Drafting,1
New Message,2
Assignment Final Version,0
Project Deep Work,1
System Update,2
Document Final Version,0
Research Guide,1
Alert,2
Report Urgent,0
Task Learning,1
Notification,2
Task Final Version,0
Task Drafting,1
New Message,2
Report Priority,0
Research Learning,1
Alert,2
Document Deadline,0
Research Planning,1
Alert,2
Task Urgent,0
Task Deep Work,1
Incoming Call,2
Research Deadline,0
Research Drafting,1
Notification,2
Report Deadline,0
Research Learning,1
New Message,2
Assignment Immediate Action,0
Project Tutorial,1
Incoming Call,2
Document Deadline,0
Research Tutorial,1
Incoming Call,2
Report Priority,0
Project Learning,1
Incoming Call,2
Research Immediate Action,0
Document Deep Work,1
Alert,2
Project Urgent,0
Project Drafting,1
System Update,2
Task Deadline,0
Report Planning,1
Notification,2
Report Deadline,0
Research Planning,1
System Update,2
Project Immediate Action,0
Project Tutorial,1
Alert,2
Research Immediate Action,0
Task Learning,1
Notification,2
Document Deadline,0
Document Guide,1
New Message,2
Assignment Priority,0
Document Tutorial,1
Incoming Call,2
Assignment Urgent,0
Task Deep Work,1
Incoming Call,2
Report Final Version,0
Task Guide,1
New Message,2
Task Priority,0
Assignment Tutorial,1
Alert,2
Document Priority,0
Project Guide,1
New Message,2
Assignment Priority,0
Assignment Deep Work,1
System Update,2
Document Final Version,0
Document Planning,1
System Update,2
Assignment Deadline,0
Assignment Planning,1
New Message,2
Research Immediate Action,0
Report Planning,1
Alert,2
Assignment Priority,0
Assignment Drafting,1
Notification,2
Project Immediate Action,0
Assignment Drafting,1
Alert,2
Report Priority,0
Research Learning,1
System Update,2
Task Priority,0
Report Deep Work,1
New Message,2
Project Deadline,0
Assignment Learning,1
System Update,2
Report Urgent,0
Research Planning,1
Incoming Call,2
Task Final Version,0
Research Tutorial,1
New Message,2
Assignment Immediate Action,0
Document Deep Work,1
Alert,2
Project Priority,0
Assignment Deep Work,1
System Update,2
Document Deadline,0
Report Guide,1
System Update,2
Research Deadline,0
Task Drafting,1
New Message,2
Assignment Priority,0
Task Drafting,1
New Message,2
Document Priority,0
Assignment Tutorial,1
Alert,2
Project Urgent,0
Research Guide,1
New Message,2
Research Immediate Action,0
Research Tutorial,1
Notification,2
Report Deadline,0
Report Learning,1
System Update,2
Research Urgent,0
Document Deep Work,1
New Message,2
Document Deadline,0
Assignment Drafting,1
Incoming Call,2
Assignment Urgent,0
Project Tutorial,1
System Update,2
Project Urgent,0
Project Drafting,1
New Message,2
Task Urgent,0
Project Tutorial,1
System Update,2
Document Final Version,0
Research Drafting,1
Incoming Call,2
Assignment Urgent,0
Project Deep Work,1
Incoming Call,2
Document Priority,0
Research Learning,1
New Message,2
Assignment Priority,0
Research Tutorial,1
Notification,2
Research Urgent,0
Report Drafting,1
New Message,2
Document Priority,0
Project Tutorial,1
Incoming Call,2
Report Priority,0
Project Learning,1
Notification,2
Research Urgent,0
Task Drafting,1
Alert,2
Document Priority,0
Task Learning,1
System Update,2
Project Final Version,0
Assignment Planning,1
New Message,2
Assignment Immediate Action,0
Research Deep Work,1
Notification,2
Document Deadline,0
Task Guide,1
Alert,2
Document Priority,0
Report Learning,1
Notification,2
Task Deadline,0
Research Guide,1
System Update,2
Research Immediate Action,0
Assignment Planning,1
Notification,2
Task Immediate Action,0
Research Drafting,1
Notification,2
Assignment Deadline,0
Research Guide,1
Notification,2
Report Urgent,0
Report Guide,1
Incoming Call,2
Document Immediate Action,0
Assignment Deep Work,1
New Message,2
Project Deadline,0
Research Guide,1
Alert,2
Document Urgent,0
Task Drafting,1
System Update,2
Assignment Deadline,0
Task Tutorial,1
Alert,2
Document Deadline,0
Document Deep Work,1
New Message,2
Assignment Urgent,0
Assignment Tutorial,1
New Message,2
Project Deadline,0
Document Drafting,1
New Message,2
Document Final Version,0
Assignment Drafting,1
Incoming Call,2
Document Priority,0
Report Deep Work,1
New Message,2
Document Deadline,0
Task Planning,1
Notification,2
Project Final Version,0
Task Planning,1
Incoming Call,2
Research Priority,0
Task Tutorial,1
Alert,2
Assignment Priority,0
Project Planning,1
System Update,2
Research Urgent,0
Task Tutorial,1
New Message,2
Assignment Final Version,0
Report Guide,1
Notification,2
Document Deadline,0
Project Learning,1
Incoming Call,2
Task Final Version,0
Task Learning,1
Incoming Call,2
Project Urgent,0
Report Drafting,1
New Message,2
Report Priority,0
Project Planning,1
System Update,2
Research Deadline,0
Document Guide,1
System Update,2
Report Deadline,0
Task Deep Work,1
New Message,2
Project Immediate Action,0
Report Planning,1
New Message,2
Task Priority,0
Task Learning,1
Notification,2
Research Immediate Action,0
Task Deep Work,1
Notification,2
Document Immediate Action,0
Report Learning,1
Incoming Call,2
Task Final Version,0
Report Learning,1
Incoming Call,2
Report Immediate Action,0
Research Drafting,1
New Message,2
Project Final Version,0
Assignment Planning,1
New Message,2
Task Deadline,0
Report Guide,1
Alert,2
Task Urgent,0
Report Planning,1
System Update,2
Research Immediate Action,0
Task Drafting,1
Alert,2
Document Urgent,0
Report Guide,1
System Update,2
Research Deadline,0
Task Learning,1
Incoming Call,2
Report Deadline,0
Task Drafting,1
Alert,2
Assignment Immediate Action,0
Report Drafting,1
Incoming Call,2
Task Deadline,0
Task Guide,1
New Message,2
Document Final Version,0
Assignment Guide,1
Notification,2
Research Priority,0
Task Learning,1
Incoming Call,2
Report Priority,0
Research Guide,1
Notification,2
Task Urgent,0
Project Drafting,1
Notification,2
Task Urgent,0
Project Guide,1
Alert,2
Research Urgent,0
Document Learning,1
System Update,2
Document Immediate Action,0
Task Deep Work,1
Alert,2
Project Immediate Action,0
Task Guide,1
System Update,2
Task Final Version,0
Project Planning,1
Notification,2
Research Urgent,0
Assignment Deep Work,1
Alert,2
Task Deadline,0
Research Deep Work,1
Incoming Call,2
Report Priority,0
Report Guide,1
New Message,2
Research Urgent,0
Research Tutorial,1
System Update,2
Document Final Version,0
Task Drafting,1
Alert,2
Project Urgent,0
Task Learning,1
Notification,2
Assignment Priority,0
Project Planning,1
System Update,2
Document Immediate Action,0
Research Learning,1
New Message,2
Project Priority,0
Project Learning,1
Alert,2
Report Final Version,0
Assignment Tutorial,1
System Update,2
Document Immediate Action,0
Assignment Tutorial,1
Notification,2
